,index,holgura
79,"(9, 8)",1.0
80,"(10, 1)",0.0
81,"(10, 2)",1.0
82,"(10, 3)",1.0
83,"(10, 4)",1.0
84,"(10, 5)",1.0
85,"(10, 6)",1.0
86,"(10, 7)",1.0
87,"(10, 8)",1.0
88,"(11, 1)",0.0
89,"(11, 2)",1.0
90,"(11, 3)",1.0
91,"(11, 4)",1.0
92,"(11, 5)",1.0
93,"(11, 6)",1.0
94,"(11, 7)",1.0
95,"(11, 8)",1.0
96,"(12, 1)",0.0
97,"(12, 2)",1.0
98,"(12, 3)",1.0
99,"(12, 4)",1.0
100,"(12, 5)",1.0
101,"(12, 6)",1.0
102,"(12, 7)",1.0
103,"(12, 8)",1.0
104,"(13, 1)",0.0
105,"(13, 2)",1.0
106,"(13, 3)",1.0
107,"(13, 4)",1.0
108,"(13, 5)",1.0
109,"(13, 6)",1.0
110,"(13, 7)",1.0
111,"(13, 8)",1.0
112,"(14, 1)",0.0
113,"(14, 2)",1.0
114,"(14, 3)",1.0
115,"(14, 4)",1.0
116,"(14, 5)",1.0
117,"(14, 6)",1.0
118,"(14, 7)",1.0
119,"(14, 8)",1.0
120,"(15, 1)",0.0
121,"(15, 2)",1.0
122,"(15, 3)",1.0
123,"(15, 4)",1.0
124,"(15, 5)",1.0
125,"(15, 6)",1.0
126,"(15, 7)",1.0
127,"(15, 8)",1.0
128,"(16, 1)",0.0
129,"(16, 2)",1.0
130,"(16, 3)",1.0
131,"(16, 4)",1.0
132,"(16, 5)",1.0
133,"(16, 6)",1.0
134,"(16, 7)",1.0
135,"(16, 8)",1.0
136,"(17, 1)",0.0
137,"(17, 2)",1.0
138,"(17, 3)",1.0
139,"(17, 4)",1.0
140,"(17, 5)",1.0
141,"(17, 6)",1.0
142,"(17, 7)",1.0
143,"(17, 8)",1.0
144,"(18, 1)",0.0
145,"(18, 2)",1.0
146,"(18, 3)",1.0
147,"(18, 4)",1.0
148,"(18, 5)",1.0
149,"(18, 6)",1.0
150,"(18, 7)",1.0
151,"(18, 8)",1.0
152,"(19, 1)",0.0
153,"(19, 2)",1.0
154,"(19, 3)",1.0
155,"(19, 4)",1.0
156,"(19, 5)",1.0
157,"(19, 6)",1.0
158,"(19, 7)",1.0
159,"(19, 8)",1.0
160,"(20, 1)",0.0
161,"(20, 2)",1.0
162,"(20, 3)",1.0
163,"(20, 4)",1.0
164,"(20, 5)",1.0
165,"(20, 6)",1.0
166,"(20, 7)",1.0
167,"(20, 8)",1.0
168,"(21, 1)",0.0
169,"(21, 2)",1.0
170,"(21, 3)",1.0
171,"(21, 4)",1.0
172,"(21, 5)",1.0
173,"(21, 6)",1.0
174,"(21, 7)",1.0
175,"(21, 8)",1.0
176,"(22, 1)",0.0
177,"(22, 2)",1.0
178,"(22, 3)",1.0
179,"(22, 4)",1.0
180,"(22, 5)",1.0
181,"(22, 6)",1.0
182,"(22, 7)",1.0
183,"(22, 8)",1.0
184,"(23, 1)",0.0
185,"(23, 2)",1.0
186,"(23, 3)",1.0
187,"(23, 4)",1.0
188,"(23, 5)",1.0
189,"(23, 6)",1.0
190,"(23, 7)",1.0
191,"(23, 8)",1.0
192,"(24, 1)",0.0
193,"(24, 2)",1.0
194,"(24, 3)",1.0
195,"(24, 4)",1.0
196,"(24, 5)",1.0
197,"(24, 6)",1.0
198,"(24, 7)",1.0
199,"(24, 8)",1.0
200,"(25, 1)",1.0
201,"(25, 2)",0.0
202,"(25, 3)",1.0
203,"(25, 4)",1.0
204,"(25, 5)",1.0
205,"(25, 6)",1.0
206,"(25, 7)",1.0
207,"(25, 8)",1.0
208,"(26, 1)",0.0
209,"(26, 2)",0.0
210,"(26, 3)",0.0
211,"(26, 4)",1.0
212,"(26, 5)",1.0
213,"(26, 6)",1.0
214,"(26, 7)",1.0
215,"(26, 8)",1.0
216,"(27, 1)",1.0
217,"(27, 2)",0.0
218,"(27, 3)",1.0
219,"(27, 4)",1.0
220,"(27, 5)",1.0
221,"(27, 6)",1.0
222,"(27, 7)",1.0
223,"(27, 8)",1.0
224,"(28, 1)",1.0
225,"(28, 2)",0.0
226,"(28, 3)",1.0
227,"(28, 4)",1.0
228,"(28, 5)",1.0
229,"(28, 6)",1.0
230,"(28, 7)",1.0
231,"(28, 8)",1.0
232,"(29, 1)",1.0
233,"(29, 2)",0.0
234,"(29, 3)",1.0
235,"(29, 4)",1.0
236,"(29, 5)",1.0
237,"(29, 6)",1.0
238,"(29, 7)",1.0
239,"(29, 8)",1.0
240,"(30, 1)",1.0
241,"(30, 2)",0.0
242,"(30, 3)",1.0
243,"(30, 4)",1.0
244,"(30, 5)",1.0
245,"(30, 6)",1.0
246,"(30, 7)",1.0
247,"(30, 8)",1.0
248,"(31, 1)",0.0
249,"(31, 2)",1.0
250,"(31, 3)",1.0
251,"(31, 4)",1.0
252,"(31, 5)",1.0
253,"(31, 6)",1.0
254,"(31, 7)",1.0
255,"(31, 8)",1.0
256,"(32, 1)",1.0
257,"(32, 2)",0.0
258,"(32, 3)",1.0
259,"(32, 4)",1.0
260,"(32, 5)",1.0
261,"(32, 6)",1.0
262,"(32, 7)",1.0
263,"(32, 8)",1.0
264,"(33, 1)",0.0
265,"(33, 2)",1.0
266,"(33, 3)",1.0
267,"(33, 4)",1.0
268,"(33, 5)",1.0
269,"(33, 6)",1.0
270,"(33, 7)",1.0
271,"(33, 8)",1.0
272,"(34, 1)",0.0
273,"(34, 2)",1.0
274,"(34, 3)",1.0
275,"(34, 4)",1.0
276,"(34, 5)",1.0
277,"(34, 6)",1.0
278,"(34, 7)",1.0
279,"(34, 8)",1.0
280,"(35, 1)",0.0
281,"(35, 2)",1.0
282,"(35, 3)",1.0
283,"(35, 4)",1.0
284,"(35, 5)",1.0
285,"(35, 6)",1.0
286,"(35, 7)",1.0
287,"(35, 8)",1.0
288,"(36, 1)",0.0
289,"(36, 2)",1.0
290,"(36, 3)",1.0
291,"(36, 4)",1.0
292,"(36, 5)",1.0
293,"(36, 6)",1.0
294,"(36, 7)",1.0
295,"(36, 8)",1.0
296,"(37, 1)",0.0
297,"(37, 2)",1.0
298,"(37, 3)",1.0
299,"(37, 4)",1.0
300,"(37, 5)",1.0
301,"(37, 6)",1.0
302,"(37, 7)",1.0
303,"(37, 8)",1.0
304,"(38, 1)",1.0
305,"(38, 2)",1.0
306,"(38, 3)",0.0
307,"(38, 4)",1.0
308,"(38, 5)",1.0
309,"(38, 6)",1.0
310,"(38, 7)",1.0
