,index,X
187,"(0, 23, 4)",0.0
188,"(0, 23, 5)",0.0
189,"(0, 23, 6)",0.0
190,"(0, 23, 7)",0.0
191,"(0, 23, 8)",0.0
192,"(0, 24, 1)",0.0
193,"(0, 24, 2)",0.0
194,"(0, 24, 3)",0.0
195,"(0, 24, 4)",0.0
196,"(0, 24, 5)",0.0
197,"(0, 24, 6)",0.0
198,"(0, 24, 7)",0.0
199,"(0, 24, 8)",0.0
200,"(0, 25, 1)",0.0
201,"(0, 25, 2)",0.0
202,"(0, 25, 3)",0.0
203,"(0, 25, 4)",0.0
204,"(0, 25, 5)",0.0
205,"(0, 25, 6)",0.0
206,"(0, 25, 7)",0.0
207,"(0, 25, 8)",0.0
208,"(0, 26, 1)",0.0
209,"(0, 26, 2)",0.0
210,"(0, 26, 3)",0.0
211,"(0, 26, 4)",0.0
212,"(0, 26, 5)",0.0
213,"(0, 26, 6)",0.0
214,"(0, 26, 7)",0.0
215,"(0, 26, 8)",0.0
216,"(0, 27, 1)",0.0
217,"(0, 27, 2)",0.0
218,"(0, 27, 3)",0.0
219,"(0, 27, 4)",0.0
220,"(0, 27, 5)",0.0
221,"(0, 27, 6)",0.0
222,"(0, 27, 7)",0.0
223,"(0, 27, 8)",0.0
224,"(0, 28, 1)",0.0
225,"(0, 28, 2)",0.0
226,"(0, 28, 3)",0.0
227,"(0, 28, 4)",0.0
228,"(0, 28, 5)",0.0
229,"(0, 28, 6)",0.0
230,"(0, 28, 7)",0.0
231,"(0, 28, 8)",0.0
232,"(0, 29, 1)",0.0
233,"(0, 29, 2)",0.0
234,"(0, 29, 3)",0.0
235,"(0, 29, 4)",0.0
236,"(0, 29, 5)",0.0
237,"(0, 29, 6)",0.0
238,"(0, 29, 7)",0.0
239,"(0, 29, 8)",0.0
240,"(0, 30, 1)",0.0
241,"(0, 30, 2)",0.0
242,"(0, 30, 3)",0.0
243,"(0, 30, 4)",0.0
244,"(0, 30, 5)",0.0
245,"(0, 30, 6)",0.0
246,"(0, 30, 7)",0.0
247,"(0, 30, 8)",0.0
248,"(0, 31, 1)",0.0
249,"(0, 31, 2)",0.0
250,"(0, 31, 3)",0.0
251,"(0, 31, 4)",0.0
252,"(0, 31, 5)",0.0
253,"(0, 31, 6)",0.0
254,"(0, 31, 7)",0.0
255,"(0, 31, 8)",0.0
256,"(0, 32, 1)",0.0
257,"(0, 32, 2)",0.0
258,"(0, 32, 3)",0.0
259,"(0, 32, 4)",0.0
260,"(0, 32, 5)",0.0
261,"(0, 32, 6)",0.0
262,"(0, 32, 7)",0.0
263,"(0, 32, 8)",0.0
264,"(0, 33, 1)",0.0
265,"(0, 33, 2)",0.0
266,"(0, 33, 3)",0.0
267,"(0, 33, 4)",0.0
268,"(0, 33, 5)",0.0
269,"(0, 33, 6)",0.0
270,"(0, 33, 7)",0.0
271,"(0, 33, 8)",0.0
272,"(0, 34, 1)",0.0
273,"(0, 34, 2)",0.0
274,"(0, 34, 3)",0.0
275,"(0, 34, 4)",0.0
276,"(0, 34, 5)",0.0
277,"(0, 34, 6)",0.0
278,"(0, 34, 7)",0.0
279,"(0, 34, 8)",0.0
280,"(0, 35, 1)",0.0
281,"(0, 35, 2)",0.0
282,"(0, 35, 3)",0.0
283,"(0, 35, 4)",0.0
284,"(0, 35, 5)",0.0
285,"(0, 35, 6)",0.0
286,"(0, 35, 7)",0.0
287,"(0, 35, 8)",0.0
288,"(0, 36, 1)",0.0
289,"(0, 36, 2)",0.0
290,"(0, 36, 3)",0.0
291,"(0, 36, 4)",0.0
292,"(0, 36, 5)",0.0
293,"(0, 36, 6)",0.0
294,"(0, 36, 7)",0.0
295,"(0, 36, 8)",0.0
296,"(0, 37, 1)",0.0
297,"(0, 37, 2)",0.0
298,"(0, 37, 3)",0.0
299,"(0, 37, 4)",0.0
300,"(0, 37, 5)",0.0
301,"(0, 37, 6)",0.0
302,"(0, 37, 7)",0.0
303,"(0, 37, 8)",0.0
304,"(0, 38, 1)",0.0
305,"(0, 38, 2)",0.0
306,"(0, 38, 3)",0.0
307,"(0, 38, 4)",0.0
308,"(0, 38, 5)",0.0
309,"(0, 38, 6)",0.0
310,"(0, 38, 7)",0.0
311,"(0, 38, 8)",0.0
312,"(0, 39, 1)",0.0
313,"(0, 39, 2)",0.0
314,"(0, 39, 3)",0.0
315,"(0, 39, 4)",0.0
316,"(0, 39, 5)",0.0
317,"(0, 39, 6)",0.0
318,"(0, 39, 7)",0.0
319,"(0, 39, 8)",0.0
320,"(0, 40, 1)",0.0
321,"(0, 40, 2)",0.0
322,"(0, 40, 3)",0.0
323,"(0, 40, 4)",0.0
324,"(0, 40, 5)",0.0
325,"(0, 40, 6)",0.0
326,"(0, 40, 7)",0.0
327,"(0, 40, 8)",0.0
328,"(0, 41, 1)",0.0
329,"(0, 41, 2)",0.0
330,"(0, 41, 3)",0.0
331,"(0, 41, 4)",0.0
332,"(0, 41, 5)",0.0
333,"(0, 41, 6)",0.0
334,"(0, 41, 7)",0.0
335,"(0, 41, 8)",0.0
336,"(0, 42, 1)",0.0
337,"(0, 42, 2)",0.0
338,"(0, 42, 3)",0.0
339,"(0, 42, 4)",0.0
340,"(0, 42, 5)",0.0
341,"(0, 42, 6)",0.0
342,"(0, 42, 7)",0.0
343,"(0, 42, 8)",0.0
344,"(0, 43, 1)",0.0
345,"(0, 43, 2)",0.0
346,"(0, 43, 3)",0.0
347,"(0, 43, 4)",0.0
348,"(0, 43, 5)",0.0
349,"(0, 43, 6)",0.0
350,"(0, 43, 7)",0.0
351,"(0, 43, 8)",0.0
352,"(0, 44, 1)",0.0
353,"(0, 44, 2)",0.0
354,"(0, 44, 3)",0.0
355,"(0, 44, 4)",0.0
356,"(0, 44, 5)",0.0
357,"(0, 44, 6)",0.0
358,"(0, 44, 7)",0.0
359,"(0, 44, 8)",0.0
360,"(0, 45, 1)",0.0
361,"(0, 45, 2)",0.0
362,"(0, 45, 3)",0.0
363,"(0, 45, 4)",0.0
364,"(0, 45, 5)",0.0
365,"(0, 45, 6)",0.0
366,"(0, 45, 7)",0.0
367,"(0, 45, 8)",0.0
368,"(0, 46, 1)",0.0
369,"(0, 46, 2)",0.0
370,"(0, 46, 3)",0.0
371,"(0, 46, 4)",0.0
372,"(0, 46, 5)",0.0
373,"(0, 46, 6)",0.0
374,"(0, 46, 7)",0.0
375,"(0, 46, 8)",0.0
376,"(0, 47, 1)",0.0
377,"(0, 47, 2)",0.0
378,"(0, 47, 3)",0.0
379,"(0, 47, 4)",0.0
380,"(0, 47, 5)",0.0
381,"(0, 47, 6)",0.0
382,"(0, 47, 7)",0.0
383,"(0, 47, 8)",0.0
384,"(0, 48, 1)",0.0
385,"(0, 48, 2)",0.0
386,"(0, 48, 3)",0.0
387,"(0, 48, 4)",0.0
388,"(0, 48, 5)",0.0
389,"(0, 48, 6)",0.0
390,"(0, 48, 7)",0.0
391,"(0, 48, 8)",0.0
392,"(0, 49, 1)",0.0
393,"(0, 49, 2)",0.0
394,"(0, 49, 3)",0.0
395,"(0, 49, 4)",0.0
396,"(0, 49, 5)",0.0
397,"(0, 49, 6)",0.0
398,"(0, 49, 7)",0.0
399,"(0, 49, 8)",0.0
400,"(0, 50, 1)",0.0
401,"(0, 50, 2)",0.0
402,"(0, 50, 3)",0.0
