,index,holgura
0,"(0, 1)",1e+28
1,"(0, 2)",0.0
2,"(0, 3)",0.0
3,"(0, 4)",0.0
4,"(0, 5)",0.0
5,"(0, 6)",0.0
6,"(0, 7)",0.0
7,"(0, 8)",0.0
8,"(1, 1)",1e+28
9,"(1, 2)",0.0
10,"(1, 3)",0.0
11,"(1, 4)",0.0
12,"(1, 5)",0.0
13,"(1, 6)",0.0
14,"(1, 7)",0.0
15,"(1, 8)",0.0
16,"(2, 1)",1e+28
17,"(2, 2)",0.0
18,"(2, 3)",0.0
19,"(2, 4)",0.0
20,"(2, 5)",0.0
21,"(2, 6)",0.0
22,"(2, 7)",0.0
23,"(2, 8)",0.0
24,"(3, 1)",1e+28
25,"(3, 2)",0.0
26,"(3, 3)",0.0
27,"(3, 4)",0.0
28,"(3, 5)",0.0
29,"(3, 6)",0.0
30,"(3, 7)",0.0
31,"(3, 8)",0.0
32,"(4, 1)",1e+28
33,"(4, 2)",0.0
34,"(4, 3)",0.0
35,"(4, 4)",0.0
36,"(4, 5)",0.0
37,"(4, 6)",0.0
38,"(4, 7)",0.0
39,"(4, 8)",0.0
40,"(5, 1)",1e+28
41,"(5, 2)",0.0
42,"(5, 3)",0.0
43,"(5, 4)",0.0
44,"(5, 5)",0.0
45,"(5, 6)",0.0
46,"(5, 7)",0.0
47,"(5, 8)",0.0
48,"(6, 1)",1e+28
49,"(6, 2)",0.0
50,"(6, 3)",0.0
51,"(6, 4)",0.0
52,"(6, 5)",0.0
53,"(6, 6)",0.0
54,"(6, 7)",0.0
55,"(6, 8)",0.0
56,"(7, 1)",1e+28
57,"(7, 2)",0.0
58,"(7, 3)",0.0
59,"(7, 4)",0.0
60,"(7, 5)",0.0
61,"(7, 6)",0.0
62,"(7, 7)",0.0
63,"(7, 8)",0.0
64,"(8, 1)",1e+28
65,"(8, 2)",0.0
66,"(8, 3)",0.0
67,"(8, 4)",0.0
68,"(8, 5)",0.0
69,"(8, 6)",0.0
70,"(8, 7)",0.0
71,"(8, 8)",0.0
72,"(9, 1)",1e+28
73,"(9, 2)",0.0
74,"(9, 3)",0.0
75,"(9, 4)",0.0
76,"(9, 5)",0.0
77,"(9, 6)",0.0
78,"(9, 7)",0.0
79,"(9, 8)",0.0
80,"(10, 1)",1e+28
81,"(10, 2)",0.0
82,"(10, 3)",0.0
83,"(10, 4)",0.0
84,"(10, 5)",0.0
85,"(10, 6)",0.0
86,"(10, 7)",0.0
87,"(10, 8)",0.0
88,"(11, 1)",1e+28
89,"(11, 2)",0.0
90,"(11, 3)",0.0
91,"(11, 4)",0.0
92,"(11, 5)",0.0
93,"(11, 6)",0.0
94,"(11, 7)",0.0
95,"(11, 8)",0.0
96,"(12, 1)",1e+28
97,"(12, 2)",0.0
98,"(12, 3)",0.0
99,"(12, 4)",0.0
100,"(12, 5)",0.0
101,"(12, 6)",0.0
102,"(12, 7)",0.0
103,"(12, 8)",0.0
104,"(13, 1)",1e+28
105,"(13, 2)",0.0
106,"(13, 3)",0.0
107,"(13, 4)",0.0
108,"(13, 5)",0.0
109,"(13, 6)",0.0
110,"(13, 7)",0.0
111,"(13, 8)",0.0
112,"(14, 1)",1e+28
113,"(14, 2)",0.0
114,"(14, 3)",0.0
115,"(14, 4)",0.0
116,"(14, 5)",0.0
117,"(14, 6)",0.0
118,"(14, 7)",0.0
119,"(14, 8)",0.0
120,"(15, 1)",1e+28
121,"(15, 2)",0.0
122,"(15, 3)",0.0
123,"(15, 4)",0.0
124,"(15, 5)",0.0
125,"(15, 6)",0.0
126,"(15, 7)",0.0
127,"(15, 8)",0.0
128,"(16, 1)",1e+28
129,"(16, 2)",0.0
130,"(16, 3)",0.0
131,"(16, 4)",0.0
132,"(16, 5)",0.0
133,"(16, 6)",0.0
134,"(16, 7)",0.0
135,"(16, 8)",0.0
136,"(17, 1)",1e+28
137,"(17, 2)",0.0
138,"(17, 3)",0.0
139,"(17, 4)",0.0
140,"(17, 5)",0.0
141,"(17, 6)",0.0
142,"(17, 7)",0.0
143,"(17, 8)",0.0
144,"(18, 1)",1e+28
145,"(18, 2)",0.0
146,"(18, 3)",0.0
147,"(18, 4)",0.0
148,"(18, 5)",0.0
149,"(18, 6)",0.0
150,"(18, 7)",0.0
151,"(18, 8)",0.0
152,"(19, 1)",1e+28
153,"(19, 2)",0.0
154,"(19, 3)",0.0
155,"(19, 4)",0.0
156,"(19, 5)",0.0
157,"(19, 6)",0.0
158,"(19, 7)",0.0
159,"(19, 8)",0.0
160,"(20, 1)",1e+28
161,"(20, 2)",0.0
162,"(20, 3)",0.0
163,"(20, 4)",0.0
164,"(20, 5)",0.0
165,"(20, 6)",0.0
166,"(20, 7)",0.0
167,"(20, 8)",0.0
168,"(21, 1)",1e+28
169,"(21, 2)",0.0
170,"(21, 3)",0.0
171,"(21, 4)",0.0
172,"(21, 5)",0.0
173,"(21, 6)",0.0
174,"(21, 7)",0.0
175,"(21, 8)",0.0
176,"(22, 1)",1e+28
177,"(22, 2)",0.0
178,"(22, 3)",0.0
179,"(22, 4)",0.0
180,"(22, 5)",0.0
181,"(22, 6)",0.0
182,"(22, 7)",0.0
183,"(22, 8)",0.0
184,"(23, 1)",1e+28
185,"(23, 2)",0.0
186,"(23, 3)",0.0
187,"(23, 4)",0.0
188,"(23, 5)",0.0
189,"(23, 6)",0.0
190,"(23, 7)",0.0
191,"(23, 8)",0.0
192,"(24, 1)",1e+28
193,"(24, 2)",0.0
194,"(24, 3)",0.0
195,"(24, 4)",0.0
196,"(24, 5)",0.0
197,"(24, 6)",0.0
198,"(24, 7)",0.0
199,"(24, 8)",0.0
200,"(25, 1)",1e+28
201,"(25, 2)",1e+28
202,"(25, 3)",0.0
203,"(25, 4)",0.0
204,"(25, 5)",0.0
205,"(25, 6)",0.0
206,"(25, 7)",0.0
207,"(25, 8)",0.0
208,"(26, 1)",1e+28
209,"(26, 2)",1e+28
210,"(26, 3)",0.0
211,"(26, 4)",0.0
212,"(26, 5)",0.0
213,"(26, 6)",0.0
214,"(26, 7)",0.0
215,"(26, 8)",0.0
216,"(27, 1)",1e+28
217,"(27, 2)",1e+28
218,"(27, 3)",0.0
219,"(27, 4)",0.0
220,"(27, 5)",0.0
221,"(27, 6)",0.0
222,"(27, 7)",0.0
223,"(27, 8)",0.0
224,"(28, 1)",1e+28
225,"(28, 2)",1e+28
226,"(28, 3)",0.0
227,"(28, 4)",0.0
228,"(28, 5)",0.0
229,"(28, 6)",0.0
230,"(28, 7)",0.0
231,"(28, 8)",0.0
232,"(29, 1)",1e+28
233,"(29, 2)",1e+28
234,"(29, 3)",0.0
235,"(29, 4)",0.0
236,"(29, 5)",0.0
237,"(29, 6)",0.0
238,"(29, 7)",0.0
239,"(29, 8)",0.0
240,"(30, 1)",1e+28
241,"(30, 2)",1e+28
242,"(30, 3)",0.0
243,"(30, 4)",0.0
244,"(30, 5)",0.0
245,"(30, 6)",0.0
246,"(30, 7)",0.0
247,"(30, 8)",0.0
248,"(31, 1)",1e+28
249,"(31, 2)",1e+28
250,"(31, 3)",0.0
251,"(31, 4)",0.0
252,"(31, 5)",0.0
253,"(31, 6)",0.0
254,"(31, 7)",0.0
255,"(31, 8)",0.0
256,"(32, 1)",1e+28
257,"(32, 2)",1e+28
258,"(32, 3)",0.0
259,"(32, 4)",0.0
260,"(32, 5)",0.0
261,"(32, 6)",0.0
262,"(32, 7)",0.0
263,"(32, 8)",0.0
264,"(33, 1)",1e+28
265,"(33, 2)",1e+28
266,"(33, 3)",0.0
267,"(33, 4)",0.0
268,"(33, 5)",0.0
269,"(33, 6)",0.0
270,"(33, 7)",0.0
271,"(33, 8)",0.0
272,"(34, 1)",1e+28
273,"(34, 2)",1e+28
274,"(34, 3)",0.0
275,"(34, 4)",0.0
276,"(34, 5)",0.0
277,"(34, 6)",0.0
278,"(34, 7)",0.0
279,"(34, 8)",0.0
280,"(35, 1)",1e+28
281,"(35, 2)",1e+28
282,"(35, 3)",0.0
283,"(35, 4)",0.0
284,"(35, 5)",0.0
285,"(35, 6)",0.0
286,"(35, 7)",0.0
287,"(35, 8)",0.0
288,"(36, 1)",1e+28
289,"(36, 2)",1e+28
290,"(36, 3)",0.0
291,"(36, 4)",0.0
292,"(36, 5)",0.0
293,"(36, 6)",0.0
294,"(36, 7)",0.0
295,"(36, 8)",0.0
296,"(37, 1)",1e+28
297,"(37, 2)",1e+28
298,"(37, 3)",0.0
299,"(37, 4)",0.0
300,"(37, 5)",0.0
301,"(37, 6)",0.0
302,"(37, 7)",0.0
303,"(37, 8)",0.0
304,"(38, 1)",1e+28
305,"(38, 2)",1e+28
306,"(38, 3)",1e+28
307,"(38, 4)",0.0
308,"(38, 5)",0.0
309,"(38, 6)",0.0
310,"(38, 7)",0.0
311,"(38, 8)",0.0
312,"(39, 1)",1e+28
313,"(39, 2)",1e+28
314,"(39, 3)",1e+28
315,"(39, 4)",0.0
316,"(39, 5)",0.0
317,"(39, 6)",0.0
318,"(39, 7)",0.0
319,"(39, 8)",0.0
320,"(40, 1)",1e+28
321,"(40, 2)",1e+28
322,"(40, 3)",1e+28
323,"(40, 4)",0.0
324,"(40, 5)",0.0
325,"(40, 6)",0.0
326,"(40, 7)",0.0
327,"(40, 8)",0.0
328,"(41, 1)",1e+28
329,"(41, 2)",1e+28
330,"(41, 3)",1e+28
331,"(41, 4)",0.0
332,"(41, 5)",0.0
333,"(41, 6)",0.0
334,"(41, 7)",0.0
335,"(41, 8)",0.0
336,"(42, 1)",1e+28
337,"(42, 2)",1e+28
338,"(42, 3)",1e+28
339,"(42, 4)",0.0
340,"(42, 5)",0.0
341,"(42, 6)",0.0
342,"(42, 7)",0.0
343,"(42, 8)",0.0
344,"(43, 1)",1e+28
345,"(43, 2)",1e+28
346,"(43, 3)",1e+28
347,"(43, 4)",0.0
348,"(43, 5)",0.0
349,"(43, 6)",0.0
350,"(43, 7)",0.0
351,"(43, 8)",0.0
352,"(44, 1)",1e+28
353,"(44, 2)",1e+28
354,"(44, 3)",1e+28
355,"(44, 4)",0.0
356,"(44, 5)",0.0
357,"(44, 6)",0.0
358,"(44, 7)",0.0
359,"(44, 8)",0.0
360,"(45, 1)",1e+28
361,"(45, 2)",1e+28
362,"(45, 3)",1e+28
363,"(45, 4)",0.0
364,"(45, 5)",0.0
365,"(45, 6)",0.0
366,"(45, 7)",0.0
367,"(45, 8)",0.0
368,"(46, 1)",1e+28
369,"(46, 2)",1e+28
370,"(46, 3)",1e+28
371,"(46, 4)",0.0
372,"(46, 5)",0.0
373,"(46, 6)",0.0
374,"(46, 7)",0.0
375,"(46, 8)",0.0
376,"(47, 1)",1e+28
377,"(47, 2)",1e+28
378,"(47, 3)",1e+28
379,"(47, 4)",0.0
380,"(47, 5)",0.0
381,"(47, 6)",0.0
382,"(47, 7)",0.0
383,"(47, 8)",0.0
384,"(48, 1)",1e+28
385,"(48, 2)",1e+28
386,"(48, 3)",1e+28
387,"(48, 4)",0.0
388,"(48, 5)",0.0
389,"(48, 6)",0.0
390,"(48, 7)",0.0
391,"(48, 8)",0.0
392,"(49, 1)",1e+28
393,"(49, 2)",1e+28
394,"(49, 3)",1e+28
395,"(49, 4)",0.0
396,"(49, 5)",0.0
397,"(49, 6)",0.0
398,"(49, 7)",0.0
399,"(49, 8)",0.0
400,"(50, 1)",1e+28
401,"(50, 2)",1e+28
402,"(50, 3)",1e+28
403,"(50, 4)",0.0
404,"(50, 5)",0.0
405,"(50, 6)",0.0
406,"(50, 7)",0.0
407,"(50, 8)",0.0
408,"(51, 1)",1e+28
409,"(51, 2)",1e+28
410,"(51, 3)",1e+28
411,"(51, 4)",1e+28
412,"(51, 5)",0.0
413,"(51, 6)",0.0
414,"(51, 7)",0.0
415,"(51, 8)",0.0
416,"(52, 1)",1e+28
417,"(52, 2)",1e+28
418,"(52, 3)",1e+28
419,"(52, 4)",1e+28
420,"(52, 5)",0.0
421,"(52, 6)",0.0
422,"(52, 7)",0.0
423,"(52, 8)",0.0
424,"(53, 1)",1e+28
425,"(53, 2)",1e+28
426,"(53, 3)",1e+28
427,"(53, 4)",1e+28
428,"(53, 5)",0.0
429,"(53, 6)",0.0
430,"(53, 7)",0.0
431,"(53, 8)",0.0
432,"(54, 1)",1e+28
433,"(54, 2)",1e+28
434,"(54, 3)",1e+28
435,"(54, 4)",1e+28
436,"(54, 5)",0.0
437,"(54, 6)",0.0
438,"(54, 7)",0.0
439,"(54, 8)",0.0
440,"(55, 1)",1e+28
441,"(55, 2)",1e+28
442,"(55, 3)",1e+28
443,"(55, 4)",1e+28
444,"(55, 5)",0.0
445,"(55, 6)",0.0
446,"(55, 7)",0.0
447,"(55, 8)",0.0
448,"(56, 1)",1e+28
449,"(56, 2)",1e+28
450,"(56, 3)",1e+28
451,"(56, 4)",1e+28
452,"(56, 5)",0.0
453,"(56, 6)",0.0
454,"(56, 7)",0.0
455,"(56, 8)",0.0
456,"(57, 1)",1e+28
457,"(57, 2)",1e+28
458,"(57, 3)",1e+28
459,"(57, 4)",1e+28
460,"(57, 5)",0.0
461,"(57, 6)",0.0
462,"(57, 7)",0.0
463,"(57, 8)",0.0
464,"(58, 1)",1e+28
465,"(58, 2)",1e+28
466,"(58, 3)",1e+28
467,"(58, 4)",1e+28
468,"(58, 5)",0.0
469,"(58, 6)",0.0
470,"(58, 7)",0.0
471,"(58, 8)",0.0
472,"(59, 1)",1e+28
473,"(59, 2)",1e+28
474,"(59, 3)",1e+28
475,"(59, 4)",1e+28
476,"(59, 5)",0.0
477,"(59, 6)",0.0
478,"(59, 7)",0.0
