,index,holgura
108,"(13, 5)",2.0
109,"(13, 6)",2.0
110,"(13, 7)",2.0
111,"(13, 8)",2.0
112,"(14, 1)",1.0
113,"(14, 2)",2.0
114,"(14, 3)",2.0
115,"(14, 4)",2.0
116,"(14, 5)",2.0
117,"(14, 6)",2.0
118,"(14, 7)",2.0
119,"(14, 8)",2.0
120,"(15, 1)",1.0
121,"(15, 2)",2.0
122,"(15, 3)",2.0
123,"(15, 4)",2.0
124,"(15, 5)",2.0
125,"(15, 6)",2.0
126,"(15, 7)",2.0
127,"(15, 8)",2.0
128,"(16, 1)",1.0
129,"(16, 2)",2.0
130,"(16, 3)",2.0
131,"(16, 4)",2.0
132,"(16, 5)",2.0
133,"(16, 6)",2.0
134,"(16, 7)",2.0
135,"(16, 8)",2.0
136,"(17, 1)",1.0
137,"(17, 2)",2.0
138,"(17, 3)",2.0
139,"(17, 4)",2.0
140,"(17, 5)",2.0
141,"(17, 6)",2.0
142,"(17, 7)",2.0
143,"(17, 8)",2.0
144,"(18, 1)",1.0
145,"(18, 2)",2.0
146,"(18, 3)",2.0
147,"(18, 4)",2.0
148,"(18, 5)",2.0
149,"(18, 6)",2.0
150,"(18, 7)",2.0
151,"(18, 8)",2.0
152,"(19, 1)",1.0
153,"(19, 2)",2.0
154,"(19, 3)",2.0
155,"(19, 4)",2.0
156,"(19, 5)",2.0
157,"(19, 6)",2.0
158,"(19, 7)",2.0
159,"(19, 8)",2.0
160,"(20, 1)",1.0
161,"(20, 2)",2.0
162,"(20, 3)",2.0
163,"(20, 4)",2.0
164,"(20, 5)",2.0
165,"(20, 6)",2.0
166,"(20, 7)",2.0
167,"(20, 8)",2.0
168,"(21, 1)",1.0
169,"(21, 2)",2.0
170,"(21, 3)",2.0
171,"(21, 4)",2.0
172,"(21, 5)",2.0
173,"(21, 6)",2.0
174,"(21, 7)",2.0
175,"(21, 8)",2.0
176,"(22, 1)",1.0
177,"(22, 2)",2.0
178,"(22, 3)",2.0
179,"(22, 4)",2.0
180,"(22, 5)",2.0
181,"(22, 6)",2.0
182,"(22, 7)",2.0
183,"(22, 8)",2.0
184,"(23, 1)",1.0
185,"(23, 2)",2.0
186,"(23, 3)",2.0
187,"(23, 4)",2.0
188,"(23, 5)",2.0
189,"(23, 6)",2.0
190,"(23, 7)",2.0
191,"(23, 8)",2.0
192,"(24, 1)",1.0
193,"(24, 2)",2.0
194,"(24, 3)",2.0
195,"(24, 4)",2.0
196,"(24, 5)",2.0
197,"(24, 6)",2.0
198,"(24, 7)",2.0
199,"(24, 8)",2.0
200,"(25, 1)",2.0
201,"(25, 2)",1.0
202,"(25, 3)",2.0
203,"(25, 4)",2.0
204,"(25, 5)",2.0
205,"(25, 6)",2.0
206,"(25, 7)",2.0
207,"(25, 8)",2.0
208,"(26, 1)",1.0
209,"(26, 2)",0.0
210,"(26, 3)",2.0
211,"(26, 4)",2.0
212,"(26, 5)",2.0
213,"(26, 6)",2.0
214,"(26, 7)",2.0
215,"(26, 8)",2.0
216,"(27, 1)",2.0
217,"(27, 2)",1.0
218,"(27, 3)",2.0
219,"(27, 4)",2.0
220,"(27, 5)",2.0
221,"(27, 6)",2.0
222,"(27, 7)",2.0
223,"(27, 8)",2.0
224,"(28, 1)",2.0
225,"(28, 2)",1.0
226,"(28, 3)",2.0
227,"(28, 4)",2.0
228,"(28, 5)",2.0
229,"(28, 6)",2.0
230,"(28, 7)",2.0
231,"(28, 8)",2.0
232,"(29, 1)",2.0
233,"(29, 2)",1.0
234,"(29, 3)",2.0
235,"(29, 4)",2.0
236,"(29, 5)",2.0
237,"(29, 6)",2.0
238,"(29, 7)",2.0
239,"(29, 8)",2.0
240,"(30, 1)",2.0
241,"(30, 2)",1.0
242,"(30, 3)",2.0
243,"(30, 4)",2.0
244,"(30, 5)",2.0
245,"(30, 6)",2.0
246,"(30, 7)",2.0
247,"(30, 8)",2.0
248,"(31, 1)",2.0
249,"(31, 2)",1.0
250,"(31, 3)",2.0
251,"(31, 4)",2.0
252,"(31, 5)",2.0
253,"(31, 6)",2.0
254,"(31, 7)",2.0
255,"(31, 8)",2.0
256,"(32, 1)",2.0
257,"(32, 2)",1.0
258,"(32, 3)",2.0
259,"(32, 4)",2.0
260,"(32, 5)",2.0
261,"(32, 6)",2.0
262,"(32, 7)",2.0
263,"(32, 8)",2.0
264,"(33, 1)",2.0
265,"(33, 2)",1.0
266,"(33, 3)",2.0
267,"(33, 4)",2.0
268,"(33, 5)",2.0
269,"(33, 6)",2.0
270,"(33, 7)",2.0
271,"(33, 8)",2.0
272,"(34, 1)",0.0
273,"(34, 2)",1.0
274,"(34, 3)",2.0
275,"(34, 4)",2.0
276,"(34, 5)",2.0
277,"(34, 6)",2.0
278,"(34, 7)",2.0
279,"(34, 8)",2.0
280,"(35, 1)",1.0
281,"(35, 2)",1.0
282,"(35, 3)",2.0
283,"(35, 4)",2.0
284,"(35, 5)",2.0
285,"(35, 6)",2.0
286,"(35, 7)",2.0
287,"(35, 8)",2.0
288,"(36, 1)",1.0
289,"(36, 2)",1.0
290,"(36, 3)",2.0
291,"(36, 4)",2.0
292,"(36, 5)",2.0
293,"(36, 6)",2.0
294,"(36, 7)",2.0
295,"(36, 8)",2.0
296,"(37, 1)",1.0
297,"(37, 2)",1.0
298,"(37, 3)",2.0
299,"(37, 4)",2.0
300,"(37, 5)",2.0
301,"(37, 6)",2.0
302,"(37, 7)",2.0
303,"(37, 8)",2.0
304,"(38, 1)",2.0
305,"(38, 2)",2.0
306,"(38, 3)",1.0
307,"(38, 4)",2.0
308,"(38, 5)",2.0
309,"(38, 6)",2.0
310,"(38, 7)",2.0
311,"(38, 8)",2.0
312,"(39, 1)",1.0
313,"(39, 2)",0.0
314,"(39, 3)",0.0
315,"(39, 4)",2.0
316,"(39, 5)",2.0
317,"(39, 6)",2.0
318,"(39, 7)",2.0
319,"(39, 8)",2.0
320,"(40, 1)",2.0
321,"(40, 2)",2.0
322,"(40, 3)",1.0
323,"(40, 4)",2.0
324,"(40, 5)",2.0
325,"(40, 6)",2.0
326,"(40, 7)",2.0
327,"(40, 8)",2.0
328,"(41, 1)",2.0
329,"(41, 2)",0.0
330,"(41, 3)",2.0
331,"(41, 4)",2.0
332,"(41, 5)",2.0
333,"(41, 6)",2.0
334,"(41, 7)",2.0
335,"(41, 8)",2.0
336,"(42, 1)",2.0
337,"(42, 2)",2.0
338,"(42, 3)",0.0
339,"(42, 4)",2.0
340,"(42, 5)",2.0
341,"(42, 6)",2.0
342,"(42, 7)",2.0
343,"(42, 8)",2.0
344,"(43, 1)",2.0
345,"(43, 2)",1.0
346,"(43, 3)",2.0
347,"(43, 4)",2.0
348,"(43, 5)",2.0
349,"(43, 6)",2.0
350,"(43, 7)",2.0
