,index,X
245,"(30, 6)",0.0
246,"(30, 7)",0.0
247,"(30, 8)",0.0
248,"(31, 1)",1.0
249,"(31, 2)",1.0
250,"(31, 3)",0.0
251,"(31, 4)",0.0
252,"(31, 5)",0.0
253,"(31, 6)",0.0
254,"(31, 7)",0.0
255,"(31, 8)",0.0
256,"(32, 1)",1.0
257,"(32, 2)",1.0
258,"(32, 3)",0.0
259,"(32, 4)",0.0
260,"(32, 5)",0.0
261,"(32, 6)",0.0
262,"(32, 7)",0.0
263,"(32, 8)",0.0
264,"(33, 1)",1.0
265,"(33, 2)",1.0
266,"(33, 3)",0.0
267,"(33, 4)",0.0
268,"(33, 5)",0.0
269,"(33, 6)",0.0
270,"(33, 7)",0.0
271,"(33, 8)",0.0
272,"(34, 1)",1.0
273,"(34, 2)",1.0
274,"(34, 3)",0.0
275,"(34, 4)",0.0
276,"(34, 5)",0.0
277,"(34, 6)",0.0
278,"(34, 7)",0.0
279,"(34, 8)",0.0
280,"(35, 1)",1.0
281,"(35, 2)",1.0
282,"(35, 3)",0.0
283,"(35, 4)",0.0
284,"(35, 5)",0.0
285,"(35, 6)",0.0
286,"(35, 7)",0.0
287,"(35, 8)",0.0
288,"(36, 1)",1.0
289,"(36, 2)",1.0
290,"(36, 3)",0.0
291,"(36, 4)",0.0
292,"(36, 5)",0.0
293,"(36, 6)",0.0
294,"(36, 7)",0.0
295,"(36, 8)",0.0
296,"(37, 1)",1.0
297,"(37, 2)",1.0
298,"(37, 3)",1.0
299,"(37, 4)",0.0
300,"(37, 5)",0.0
301,"(37, 6)",0.0
302,"(37, 7)",0.0
303,"(37, 8)",0.0
304,"(38, 1)",1.0
305,"(38, 2)",1.0
306,"(38, 3)",1.0
307,"(38, 4)",0.0
308,"(38, 5)",0.0
309,"(38, 6)",0.0
310,"(38, 7)",0.0
311,"(38, 8)",0.0
312,"(39, 1)",1.0
313,"(39, 2)",1.0
314,"(39, 3)",1.0
315,"(39, 4)",0.0
316,"(39, 5)",0.0
317,"(39, 6)",0.0
318,"(39, 7)",0.0
319,"(39, 8)",0.0
320,"(40, 1)",1.0
321,"(40, 2)",1.0
322,"(40, 3)",1.0
323,"(40, 4)",0.0
324,"(40, 5)",0.0
325,"(40, 6)",0.0
326,"(40, 7)",0.0
327,"(40, 8)",0.0
328,"(41, 1)",1.0
329,"(41, 2)",1.0
330,"(41, 3)",1.0
331,"(41, 4)",0.0
332,"(41, 5)",0.0
333,"(41, 6)",0.0
334,"(41, 7)",0.0
335,"(41, 8)",0.0
336,"(42, 1)",1.0
337,"(42, 2)",1.0
338,"(42, 3)",1.0
339,"(42, 4)",0.0
340,"(42, 5)",0.0
341,"(42, 6)",0.0
342,"(42, 7)",0.0
343,"(42, 8)",0.0
344,"(43, 1)",1.0
345,"(43, 2)",1.0
346,"(43, 3)",1.0
