,index,holgura
0,1,0.0
1,2,-679.333333333343
2,3,-930.0000000000002
3,4,-575.9999999999999
4,5,-1095.3333333333335
5,6,-2993.3333333333335
6,7,-1092.666666666667
7,8,-8654.000000000002
